episode,step,total_waiting_time,total_queue_length,avg_loss
1,0,0.0,0,0
1,100,130.0,13,139.02136364037514
1,200,178.0,24,1219.4808302294496
1,300,177.0,22,1169.706954977688
1,400,243.0,26,795.5945952184379
1,500,431.0,27,243.22168723826354
1,600,685.0,31,262.57623157613534
1,700,821.0,56,1119.0255206006468
1,800,718.0,36,2290.490153949297
1,900,829.0,51,1952.0878055979817
1,1000,1606.0,59,1661.1218051826552
1,1100,4073.0,82,73561.69479682145
1,1200,11116.0,89,125893.07282654983
1,1300,19750.0,88,428436.79051288083
1,1400,28431.0,89,832051.4622094185
1,1500,37180.0,92,1627365.6301477193
1,1600,46059.0,92,3176799.6052768384
1,1700,55373.0,97,5353173.637096572
1,1800,65957.0,113,7803223.266985233
1,1900,77430.0,120,12198863.694351718
1,2000,89223.0,123,16226808.363712968
1,2100,101897.0,129,103258971.85000056
1,2200,114958.0,132,62635608.622227676
1,2300,128313.0,139,43040320.28000006
1,2400,142438.0,143,42235586.99132965
1,2500,156927.0,147,42941120.2006273
1,2600,171825.0,153,46821041.35437502
1,2700,187462.0,159,51855878.07375018
1,2800,203596.0,164,55524818.796290815
1,2900,220216.0,167,56450780.50379274
1,3000,237283.0,173,61245403.27761746
1,3100,254913.0,180,693815579.6000001
1,3200,272930.0,181,332430884.58008087
1,3300,291422.0,189,178551423.60000238
1,3400,310323.0,190,172027550.18008164
1,3500,329323.0,190,167128300.17757866
2,0,0.0,0,181728900.0000021
2,100,140.0,14,145409753.30625
2,200,212.0,19,113809156.03886834
2,300,173.0,22,101090228.71144728
2,400,141.0,23,97541196.00882927
2,500,166.0,17,1133460017.3600395
2,600,457.0,26,330608519.8900395
2,700,529.0,37,167709930.11753932
2,800,445.0,31,128865405.1051566
2,900,759.0,49,102467353.3750792
2,1000,868.0,46,89491039.6369152
2,1100,2159.0,47,78857157.89750043
2,1200,4078.0,57,73223899.99507913
2,1300,6294.0,65,70815396.85625029
2,1400,2579.0,64,71899673.84375
2,1500,683.0,52,842783304.8800004
2,1600,1879.0,51,159919160.87019515
2,1700,3691.0,46,113439013.3656253
2,1800,3779.0,78,73672404.06449488
2,1900,2443.0,72,65779935.42816451
2,2000,5858.0,88,63666676.36003914
2,2100,9817.0,89,59684067.866875105
2,2200,10535.0,84,59049189.67316443
2,2300,7319.0,91,55411345.14628937
2,2400,5762.0,93,60050145.851289585
2,2500,7413.0,97,630955295.8400394
2,2600,17130.0,107,139526030.52519637
2,2700,27562.0,108,84155985.71820356
2,2800,38555.0,111,68662079.00445347
2,2900,50325.0,121,73612776.1089075
2,3000,62544.0,124,62243481.68129033
2,3100,75040.0,128,60543329.30882843
2,3200,88285.0,135,65306740.91378977
2,3300,102046.0,141,55129721.863867864
2,3400,116146.0,141,52700317.56503964
2,3500,130341.0,142,568538547.6200397
3,0,0.0,0,131018308.80000046
3,100,127.0,14,89598372.41261818
3,200,442.0,24,70239018.33640787
3,300,324.0,27,62514548.93757853
3,400,252.0,24,59271879.93632886
3,500,240.0,25,49311786.42253972
3,600,253.0,32,47062071.3112894
3,700,2106.0,48,44449331.82128907
3,800,3887.0,54,43047166.74878921
3,900,859.0,52,416720931.38007843
3,1000,1914.0,53,105292533.59500025
3,1100,1856.0,40,72733363.65507881
3,1200,2160.0,60,58757740.88378952
3,1300,5604.0,69,52278979.34507865
3,1400,2773.0,59,49571233.86015731
3,1500,6487.0,80,46430133.821367934
3,1600,13021.0,90,54835106.52328133
3,1700,20732.0,111,61455038.843867205
3,1800,9927.0,109,58729485.8625392
3,1900,3476.0,75,329376081.2500789
3,2000,2800.0,84,117001268.84628929
3,2100,6922.0,77,83354323.93628947
3,2200,8547.0,74,67029037.72750006
3,2300,2618.0,84,59998018.040039025
3,2400,10174.0,104,57522143.00753928
3,2500,21270.0,116,52671880.99320316
3,2600,33029.0,121,49990590.308828585
3,2700,45400.0,126,51873590.136289164
3,2800,58221.0,132,54842042.28632876
3,2900,72078.0,140,255697193.28003937
3,3000,86523.0,147,95264478.4550392
3,3100,101608.0,156,73914531.33503939
3,3200,117557.0,161,56966889.27007906
3,3300,133927.0,167,55513170.29503922
3,3400,150627.0,167,52584490.98757805
3,3500,167425.0,168,48095390.04503942
4,0,0.0,0,51314220.00000063
4,100,132.0,14,56660488.36757853
4,200,158.0,17,48531400.63011729
4,300,176.0,23,289550259.59003925
4,400,110.0,16,88219205.74515648
4,500,637.0,18,67195473.68000017
4,600,479.0,26,56101251.58003922
4,700,427.0,30,56855146.68000023
4,800,807.0,25,49169431.32507853
4,900,447.0,28,47707616.697539166
4,1000,947.0,46,48038599.525157236
4,1100,818.0,51,41798556.94382842
4,1200,950.0,64,44541641.7837892
4,1300,1460.0,44,233821710.17515618
4,1400,400.0,33,87834409.76253946
4,1500,1549.0,49,58747376.61015634
4,1600,4094.0,57,53608427.18519593
4,1700,6724.0,66,47934437.6050391
4,1800,6264.0,66,49582273.79757901
4,1900,10105.0,66,45667817.5400395
4,2000,17151.0,85,43231231.480039395
4,2100,25416.0,99,45274662.845000036
4,2200,35416.0,105,44250734.99503946
4,2300,46399.0,119,227483985.30007842
4,2400,58327.0,124,65721262.79257791
4,2500,70877.0,130,59571154.435078524
4,2600,84330.0,140,53008185.01250001
4,2700,98514.0,145,58612639.1100393
4,2800,113296.0,151,50063143.573789254
4,2900,128771.0,158,58453203.81136764
4,3000,144928.0,163,55071094.870078154
4,3100,161541.0,170,56704087.745078474
4,3200,178617.0,172,56751101.47257836
4,3300,196187.0,180,182192900.08003968
4,3400,214268.0,181,82017356.79257809
4,3500,232467.0,182,78241967.8875783
5,0,0.0,0,88308343.00077666
5,100,129.0,13,64171032.53253931
5,200,312.0,15,58901579.90011757
5,300,150.0,19,58346585.566328265
5,400,316.0,24,53632524.18378971
5,500,306.0,18,56580630.916367605
5,600,339.0,23,49060731.59636699
5,700,786.0,43,185871903.8900392
5,800,740.0,33,78176768.33757876
5,900,416.0,27,63136403.0125784
5,1000,2014.0,48,62107775.24507819
5,1100,1317.0,61,56251590.1950391
5,1200,6415.0,80,53087940.00875018
5,1300,12568.0,83,62217598.766250126
5,1400,6869.0,71,52907686.03500001
5,1500,1247.0,73,54036415.6637502
5,1600,5277.0,74,48165413.79878913
5,1700,10580.0,81,189392994.31003898
5,1800,17560.0,97,81909161.87761754
5,1900,27645.0,123,71305076.32000004
5,2000,39877.0,126,66877255.76136759
5,2100,53422.0,144,69732074.65562564
5,2200,67765.0,144,86844953.81515694
5,2300,82219.0,146,93858080.44503921
5,2400,96762.0,147,86450285.8576571
5,2500,111688.0,151,88267151.38757864
5,2600,126916.0,155,88292599.04699224
5,2700,142532.0,159,201886931.1300786
5,2800,158625.0,162,114916868.09253924
5,2900,174998.0,165,94803771.78625007
5,3000,191737.0,170,97631559.34128937
5,3100,208856.0,174,88080626.70136726
5,3200,226406.0,177,81207337.37757833
5,3300,244381.0,183,90673059.29882798
5,3400,262681.0,183,99512254.71132825
5,3500,281080.0,184,98754436.97632836
6,0,0.0,0,60815378.625000134
6,100,100.0,13,208272165.09503907
6,200,290.0,16,124436354.8550005
6,300,118.0,16,118007752.95257877
6,400,189.0,17,109461941.96628931
6,500,222.0,16,100350893.64878923
6,600,408.0,29,97427129.88765606
6,700,527.0,37,103404278.63941477
6,800,201.0,18,95848215.46140671
6,900,708.0,45,98250278.07253937
6,1000,491.0,31,94728465.41882834
6,1100,887.0,64,186774627.78511786
6,1200,2249.0,73,105042691.81761679
6,1300,712.0,60,100585883.23753923
6,1400,680.0,50,97019901.07007828
6,1500,888.0,49,99584417.58562504
6,1600,5132.0,69,99028649.76937504
6,1700,4004.0,48,93892205.87394498
6,1800,6169.0,75,89836240.17250043
6,1900,8133.0,57,100329665.07066411
6,2000,1594.0,50,87030739.3059768
6,2100,5988.0,72,183982856.11500004
6,2200,5152.0,75,113338690.70125002
6,2300,10661.0,88,103268295.30820423
6,2400,19516.0,94,104362934.95507838
6,2500,28974.0,96,97511266.30347669
6,2600,38698.0,99,82560035.56566441
6,2700,48659.0,104,99418672.70519605
6,2800,59052.0,105,84578799.50500005
6,2900,69972.0,114,95722578.19886725
6,3000,81606.0,118,103712789.63878952
6,3100,93527.0,123,178893609.4150392
6,3200,106354.0,131,106858391.03445306
6,3300,119723.0,137,112258907.24324356
6,3400,133516.0,138,97145668.10757823
6,3500,147414.0,139,99839717.7437892
7,0,0.0,0,136639442.9000001
7,100,135.0,13,99010191.66250002
7,200,351.0,19,91400163.48695341
7,300,236.0,26,100467782.16378948
7,400,247.0,28,110783436.79324254
7,500,74.0,15,162228782.5250002
7,600,314.0,26,110571749.85628945
7,700,384.0,36,100121792.64566427
7,800,445.0,32,104793659.52500018
7,900,303.0,22,96110749.84011707
7,1000,497.0,43,94128331.20132816
7,1100,472.0,42,99599523.76632826
7,1200,2133.0,62,93492298.52375004
7,1300,4359.0,70,90887769.95695348
7,1400,1942.0,82,91799066.74437557
7,1500,6133.0,80,163274233.42511833
7,1600,13924.0,91,119203700.70152275
7,1700,17555.0,90,107127788.32511826
7,1800,5080.0,87,102019319.82312502
7,1900,10276.0,124,97275002.06566477
7,2000,14933.0,126,96009738.49257846
7,2100,28095.0,142,99742571.74382836
7,2200,42883.0,154,111415770.19449206
7,2300,58489.0,162,106020613.38375
7,2400,74851.0,165,92052362.0050392
7,2500,91451.0,167,146713893.5875393
7,2600,108183.0,169,114456157.50640637
7,2700,125152.0,171,123247582.35074216
7,2800,142284.0,172,102600670.8875784
7,2900,159582.0,173,115018580.24191426
7,3000,177088.0,177,99806184.8744534
7,3100,194874.0,180,103637040.55941446
7,3200,212952.0,182,105224829.15097666
7,3300,231430.0,188,112332139.8887895
7,3400,250230.0,188,101202072.55628921
7,3500,269130.0,189,171340969.6400001
8,0,0.0,0,93286885.95078379
8,100,125.0,15,136238524.65531296
8,200,442.0,25,121924103.0025391
8,300,278.0,29,127074997.74320321
8,400,181.0,23,101310228.00000028
8,500,199.0,22,105111625.03375013
8,600,346.0,24,118493260.17003922
8,700,535.0,26,104740696.5669142
8,800,254.0,18,106977376.8607429
8,900,330.0,31,174363105.1519921
8,1000,344.0,24,131958106.04500034
8,1100,740.0,43,136216986.0500002
8,1200,813.0,46,128484676.57507858
8,1300,1016.0,60,117509488.19320332
8,1400,2713.0,59,120253686.55066414
8,1500,1425.0,56,115284698.53066435
8,1600,2186.0,68,121304490.45503922
8,1700,3118.0,60,115720046.41066408
8,1800,4054.0,65,117248218.12199266
8,1900,6394.0,59,148354262.25261724
8,2000,10993.0,71,163088651.58500025
8,2100,14774.0,65,121886779.19128914
8,2200,14490.0,75,127982320.8251175
8,2300,21649.0,94,127671304.79500003
8,2400,31733.0,106,112969082.63519642
8,2500,42967.0,116,111702377.99566452
8,2600,54630.0,117,110181560.32753922
8,2700,66441.0,121,114926221.10378926
8,2800,78664.0,123,110303102.80378953
8,2900,91185.0,126,150038100.5200789
8,3000,104051.0,131,129041265.95632893
8,3100,117650.0,142,108312710.1089451
8,3200,132120.0,147,124581777.21878915
8,3300,147259.0,156,114794998.06019558
8,3400,162953.0,157,120000901.16132858
8,3500,178753.0,158,116962062.09128925
9,0,0.0,0,83581211.20000002
9,100,118.0,11,119204672.55253965
9,200,241.0,21,141914441.38445336
9,300,268.0,31,166255005.23003915
9,400,183.0,19,134497864.37503922
9,500,302.0,27,132195051.96441416
9,600,738.0,34,130284686.24625011
9,700,1842.0,55,116409461.3888286
9,800,2689.0,59,151688499.70011717
9,900,1815.0,74,132010890.07562502
9,1000,919.0,56,129144939.3344923
9,1100,4324.0,70,114710096.27320336
9,1200,11022.0,86,146418789.4737892
9,1300,19387.0,87,186473320.84000012
9,1400,27870.0,86,134811955.78218755
9,1500,36422.0,89,148340942.95886737
9,1600,45081.0,90,113030549.23187548
9,1700,54036.0,92,152779398.86691418
9,1800,63698.0,103,119292564.5597267
9,1900,74074.0,105,145849800.17628938
9,2000,84729.0,111,145821262.00187507
9,2100,96367.0,120,128713382.72125024
9,2200,108443.0,121,123223556.39132793
9,2300,120750.0,126,164334803.9575393
9,2400,133403.0,128,134746316.65816426
9,2500,146382.0,131,119045911.33011761
9,2600,159582.0,134,171054445.62007838
9,2700,173071.0,137,122278373.98566428
9,2800,186801.0,138,108320577.73570351
9,2900,200700.0,139,130137944.1675392
9,3000,214810.0,143,141613240.71757844
9,3100,229200.0,146,173203231.41394538
9,3200,243817.0,147,137013903.20753935
9,3300,258798.0,153,155137309.0475001
9,3400,274099.0,154,185001584.31253928
9,3500,289499.0,154,156128361.58882818
10,0,0.0,0,87927116.35000011
10,100,145.0,15,178067016.16378933
10,200,382.0,24,184654958.21625006
10,300,419.0,28,159811055.24445346
10,400,207.0,25,148580569.65078107
10,500,402.0,27,153665601.6837894
10,600,221.0,21,165344553.46125004
10,700,758.0,37,176498388.08570346
10,800,500.0,29,186202972.47007823
10,900,643.0,26,144464396.68500066
10,1000,234.0,18,143710372.1512894
10,1100,888.0,44,153912345.986328
10,1200,5190.0,72,135842028.49761724
10,1300,5613.0,65,165089126.12257838
10,1400,5488.0,56,136855393.34761727
10,1500,7547.0,60,145338471.24535164
10,1600,8818.0,53,143782065.89503926
10,1700,1205.0,60,189761221.19875
10,1800,3285.0,75,159295266.22761738
10,1900,5440.0,68,162024258.25257838
10,2000,10396.0,72,162493673.60753956
10,2100,13659.0,69,141734220.75507823
10,2200,21545.0,82,153616822.01062515
10,2300,30119.0,91,169615135.598828
10,2400,39153.0,92,175567721.44257796
10,2500,48563.0,96,131587079.46878944
10,2600,58345.0,101,146886535.20753905
10,2700,68750.0,108,200121567.33500013
10,2800,79642.0,109,147416109.8650786
10,2900,90804.0,113,181251974.89132825
10,3000,102393.0,118,167203852.47640565
10,3100,114316.0,123,174838912.0050003
10,3200,126846.0,128,165025965.2712502
10,3300,139920.0,134,146629125.65078154
10,3400,153408.0,135,155093732.30195305
10,3500,167007.0,136,162693856.98144498
