episode,total_reward,avg_reward_per_junction,epsilon,duration
1,-282919260.0,-141459630.0,0.997,113.36342477798462
2,-238867899.0,-119433949.5,0.994009,112.71913456916809
3,-286693289.0,-143346644.5,0.991026973,113.70062613487244
4,-310551370.5,-155275685.25,0.988053892081,113.13499212265015
5,-281169020.0,-140584510.0,0.985089730404757,114.281329870224
6,-275093566.5,-137546783.25,0.9821344612135428,114.7852463722229
7,-258704694.5,-129352347.25,0.9791880578299021,114.0183355808258
8,-293981186.5,-146990593.25,0.9762504936564125,114.92927575111389
9,-263931427.0,-131965713.5,0.9733217421754432,114.47019171714783
10,-253061339.5,-126530669.75,0.9704017769489168,114.20614075660706
11,-248704547.5,-124352273.75,0.9674905716180701,116.45304656028748
12,-289657450.5,-144828725.25,0.9645880999032158,115.09812784194946
13,-250905897.5,-125452948.75,0.9616943356035061,116.05403256416321
14,-243650702.0,-121825351.0,0.9588092525966956,117.02347302436829
15,-264382772.0,-132191386.0,0.9559328248389055,116.0944242477417
16,-254114979.5,-127057489.75,0.9530650263643888,115.8649492263794
17,-248192315.0,-124096157.5,0.9502058312852957,117.2359688282013
18,-269016467.0,-134508233.5,0.9473552137914398,116.32312798500061
19,-244182729.0,-122091364.5,0.9445131481500655,116.30716133117676
20,-308651595.0,-154325797.5,0.9416796087056153,119.34803509712219
21,-290000795.5,-145000397.75,0.9388545698794984,118.95370411872864
22,-252966179.5,-126483089.75,0.93603800616986,118.15086603164673
23,-311580931.5,-155790465.75,0.9332298921513504,119.67055082321167
24,-252266940.0,-126133470.0,0.9304302024748964,117.8668224811554
25,-266280602.0,-133140301.0,0.9276389118674717,119.11659383773804
26,-269725039.5,-134862519.75,0.9248559951318693,118.50943088531494
27,-243123496.0,-121561748.0,0.9220814271464737,117.79531526565552
28,-257002059.0,-128501029.5,0.9193151828650342,119.04052519798279
29,-242994207.5,-121497103.75,0.9165572373164391,119.29339742660522
30,-274847230.0,-137423615.0,0.9138075656044898,118.99299955368042
31,-261963698.0,-130981849.0,0.9110661429076764,118.01213192939758
32,-248726035.0,-124363017.5,0.9083329444789534,118.41508531570435
33,-257725871.0,-128862935.5,0.9056079456455165,117.98129105567932
34,-257749287.0,-128874643.5,0.90289112180858,117.82425904273987
35,-269818160.0,-134909080.0,0.9001824484431542,118.46018123626709
36,-273317527.5,-136658763.75,0.8974819010978248,123.25735235214233
37,-273473375.5,-136736687.75,0.8947894553945313,118.71383166313171
38,-291682566.5,-145841283.25,0.8921050870283477,119.2370252609253
39,-265016841.5,-132508420.75,0.8894287717672626,118.85727190971375
40,-253370245.5,-126685122.75,0.8867604854519608,119.4284725189209
41,-307190972.5,-153595486.25,0.884100203995605,118.78341150283813
42,-260240371.0,-130120185.5,0.8814479033836181,118.78515148162842
43,-257804470.5,-128902235.25,0.8788035596734672,118.58533358573914
44,-266600815.5,-133300407.75,0.8761671489944468,118.1690366268158
45,-257942095.5,-128971047.75,0.8735386475474635,118.61454200744629
46,-281158913.0,-140579456.5,0.8709180316048211,119.58309364318848
47,-265255677.5,-132627838.75,0.8683052775100066,119.04142880439758
48,-236676524.0,-118338262.0,0.8657003616774767,118.73469471931458
49,-262901195.5,-131450597.75,0.8631032605924442,118.59963512420654
50,-258490332.5,-129245166.25,0.860513950810667,117.91301989555359
51,-263709492.0,-131854746.0,0.857932408958235,118.14803004264832
52,-276494059.0,-138247029.5,0.8553586117313603,118.16389322280884
53,-301051932.0,-150525966.0,0.8527925358961662,119.38511371612549
54,-303518095.5,-151759047.75,0.8502341582884777,118.72095537185669
55,-280749742.5,-140374871.25,0.8476834558136123,118.59188914299011
56,-254201718.5,-127100859.25,0.8451404054461714,119.60859680175781
57,-310967843.5,-155483921.75,0.8426049842298329,119.16595911979675
58,-260461289.5,-130230644.75,0.8400771692771434,118.17658829689026
59,-234285470.5,-117142735.25,0.837556937769312,118.55772018432617
60,-266186654.5,-133093327.25,0.835044266956004,118.99511551856995
61,-281516539.5,-140758269.75,0.8325391341551359,119.47658729553223
62,-290223636.0,-145111818.0,0.8300415167526705,121.58481669425964
63,-274674821.0,-137337410.5,0.8275513922024125,118.33995628356934
64,-261588917.5,-130794458.75,0.8250687380258053,119.2709002494812
65,-261660067.5,-130830033.75,0.8225935318117279,120.7507996559143
66,-260851931.5,-130425965.75,0.8201257512162927,119.39635944366455
67,-240320762.5,-120160381.25,0.8176653739626438,119.06301188468933
68,-234713012.5,-117356506.25,0.8152123778407558,119.2772536277771
69,-274945244.5,-137472622.25,0.8127667407072335,119.20507884025574
70,-305571256.5,-152785628.25,0.8103284404851119,120.25684690475464
71,-252650627.0,-126325313.5,0.8078974551636565,119.29735088348389
72,-243619404.5,-121809702.25,0.8054737627981655,119.45398950576782
73,-245126227.5,-122563113.75,0.803057341509771,119.29306173324585
74,-272560938.5,-136280469.25,0.8006481694852418,119.26367425918579
75,-261792259.5,-130896129.75,0.798246224976786,118.69582009315491
76,-235901961.0,-117950980.5,0.7958514863018556,130.62493991851807
77,-265496850.5,-132748425.25,0.79346393184295,120.45979881286621
78,-277913638.5,-138956819.25,0.7910835400474212,119.4098768234253
79,-284770028.5,-142385014.25,0.7887102894272789,120.43985414505005
80,-261618560.0,-130809280.0,0.7863441585589971,119.36184048652649
81,-283552530.0,-141776265.0,0.78398512608332,119.51598048210144
82,-279839766.0,-139919883.0,0.7816331707050701,119.01540613174438
83,-246008982.5,-123004491.25,0.7792882711929549,119.25870633125305
84,-260155682.0,-130077841.0,0.776950406379376,119.22735047340393
85,-237312253.0,-118656126.5,0.7746195551602378,118.85680937767029
86,-247395452.5,-123697726.25,0.7722956964947572,119.37570548057556
87,-260838845.5,-130419422.75,0.7699788094052729,118.56348514556885
88,-264423449.0,-132211724.5,0.767668872977057,120.54147672653198
89,-255860530.0,-127930265.0,0.7653658663581259,120.0409722328186
90,-269200654.0,-134600327.0,0.7630697687590515,118.8690812587738
91,-265067230.5,-132533615.25,0.7607805594527743,118.7533073425293
92,-279082753.5,-139541376.75,0.7584982177744161,119.72363662719727
93,-262557208.5,-131278604.25,0.7562227231210928,119.2842664718628
94,-279113834.0,-139556917.0,0.7539540549517295,119.30071973800659
95,-259314456.0,-129657228.0,0.7516921927868743,119.09573197364807
96,-245996844.0,-122998422.0,0.7494371162085136,120.76698517799377
97,-291147493.0,-145573746.5,0.747188804859888,119.15208840370178
98,-223423871.0,-111711935.5,0.7449472384453084,119.91770005226135
99,-249985806.5,-124992903.25,0.7427123967299725,119.69101738929749
100,-292300303.0,-146150151.5,0.7404842595397826,120.3148238658905
101,-261450617.5,-130725308.75,0.7382628067611632,120.1630506515503
102,-304106444.0,-152053222.0,0.7360480183408797,119.80345678329468
103,-296437764.5,-148218882.25,0.7338398742858571,119.98638439178467
104,-244936298.0,-122468149.0,0.7316383546629995,119.34795308113098
105,-323759860.0,-161879930.0,0.7294434395990105,119.29363656044006
106,-236737209.5,-118368604.75,0.7272551092802134,120.24070739746094
107,-315818239.5,-157909119.75,0.7250733439523728,120.35714054107666
108,-284353117.0,-142176558.5,0.7228981239205157,119.79564237594604
109,-257117527.0,-128558763.5,0.7207294295487541,119.79313588142395
110,-299282585.0,-149641292.5,0.7185672412601078,120.54063963890076
111,-275920949.0,-137960474.5,0.7164115395363275,120.00074076652527
112,-258635615.5,-129317807.75,0.7142623049177186,118.55560398101807
113,-265814891.5,-132907445.75,0.7121195180029655,118.82089328765869
114,-308465682.0,-154232841.0,0.7099831594489566,119.53998470306396
115,-263622331.5,-131811165.75,0.7078532099706097,120.72984957695007
116,-271721352.0,-135860676.0,0.7057296503406979,119.68983268737793
117,-298927626.0,-149463813.0,0.7036124613896758,119.64265823364258
118,-253689151.0,-126844575.5,0.7015016240055068,119.75332641601562
119,-275527170.5,-137763585.25,0.6993971191334902,119.53196859359741
120,-250934187.5,-125467093.75,0.6972989277760897,119.27651023864746
121,-239212913.0,-119606456.5,0.6952070309927615,119.17958331108093
122,-283369052.0,-141684526.0,0.6931214098997832,119.52874946594238
123,-243187356.5,-121593678.25,0.6910420456700839,119.18614983558655
124,-260631075.0,-130315537.5,0.6889689195330736,120.06650233268738
125,-229867430.5,-114933715.25,0.6869020127744744,120.2490906715393
126,-273790593.5,-136895296.75,0.684841306736151,119.78069257736206
127,-264227489.0,-132113744.5,0.6827867828159425,120.01325702667236
128,-275445836.5,-137722918.25,0.6807384224674947,120.27257680892944
129,-266575019.0,-133287509.5,0.6786962072000923,119.91665005683899
130,-248569770.0,-124284885.0,0.676660118578492,120.64649987220764
131,-251496078.5,-125748039.25,0.6746301382227565,120.71727061271667
132,-243666936.0,-121833468.0,0.6726062478080883,119.81506037712097
133,-262932798.0,-131466399.0,0.6705884290646641,120.97928524017334
134,-260951215.0,-130475607.5,0.66857666377747,119.94387316703796
135,-264985634.0,-132492817.0,0.6665709337861376,127.87672734260559
136,-272322298.0,-136161149.0,0.6645712209847792,118.21999168395996
137,-250368598.5,-125184299.25,0.6625775073218249,118.31293749809265
138,-248139285.5,-124069642.75,0.6605897747998594,118.55323767662048
139,-246228259.0,-123114129.5,0.6586080054754598,118.74565625190735
140,-283921301.0,-141960650.5,0.6566321814590335,118.01062273979187
141,-254627371.0,-127313685.5,0.6546622849146564,118.44560074806213
142,-266227088.0,-133113544.0,0.6526982980599124,118.57784914970398
143,-251058168.5,-125529084.25,0.6507402031657327,118.14255714416504
144,-245569134.0,-122784567.0,0.6487879825562355,118.80917358398438
145,-256046006.0,-128023003.0,0.6468416186085668,118.13515448570251
146,-246229938.5,-123114969.25,0.6449010937527411,119.00486493110657
147,-299158262.0,-149579131.0,0.6429663904714829,119.49910354614258
148,-274326785.0,-137163392.5,0.6410374913000684,118.14975571632385
149,-262027554.5,-131013777.25,0.6391143788261682,118.15998649597168
150,-256706897.5,-128353448.75,0.6371970356896897,118.70594120025635
151,-267179841.5,-133589920.75,0.6352854445826206,118.21340489387512
152,-268557262.0,-134278631.0,0.6333795882488727,119.0022144317627
153,-257524677.5,-128762338.75,0.6314794494841262,117.86354422569275
154,-250321941.0,-125160970.5,0.6295850111356738,118.78573322296143
155,-240001269.5,-120000634.75,0.6276962561022668,118.65436148643494
156,-256501922.5,-128250961.25,0.62581316733396,123.91164064407349
157,-246846515.5,-123423257.75,0.623935727831958,120.00753593444824
158,-298236612.0,-149118306.0,0.6220639206484622,119.54256296157837
159,-260361255.0,-130180627.5,0.6201977288865168,119.26079440116882
160,-237753166.0,-118876583.0,0.6183371356998573,119.02363443374634
161,-278045870.0,-139022935.0,0.6164821242927577,118.51059532165527
162,-299747394.0,-149873697.0,0.6146326779198794,118.66498470306396
163,-278654496.0,-139327248.0,0.6127887798861198,118.34831762313843
164,-250040144.0,-125020072.0,0.6109504135464614,118.45670437812805
165,-271270216.0,-135635108.0,0.609117562305822,118.71988415718079
166,-252048511.0,-126024255.5,0.6072902096189046,118.43572735786438
167,-260236389.5,-130118194.75,0.6054683389900478,118.42147850990295
168,-247050661.0,-123525330.5,0.6036519339730777,119.13749504089355
169,-235195476.0,-117597738.0,0.6018409781711584,119.23549890518188
170,-268847450.5,-134423725.25,0.6000354552366449,118.71706557273865
171,-260250275.0,-130125137.5,0.598235348870935,126.23926043510437
172,-279713865.0,-139856932.5,0.5964406428243222,121.3806517124176
173,-248700710.5,-124350355.25,0.5946513208958493,121.40449738502502
174,-261343834.0,-130671917.0,0.5928673669331617,121.46823453903198
175,-289064562.0,-144532281.0,0.5910887648323622,121.04861783981323
176,-270932642.5,-135466321.25,0.5893154985378651,122.59339833259583
177,-250163301.5,-125081650.75,0.5875475520422515,121.8208339214325
178,-261433825.0,-130716912.5,0.5857849093861247,121.42932152748108
179,-240991296.5,-120495648.25,0.5840275546579663,121.64507293701172
180,-238735585.5,-119367792.75,0.5822754719939924,121.49049210548401
181,-302010343.0,-151005171.5,0.5805286455780104,121.66671085357666
182,-252830987.5,-126415493.75,0.5787870596412764,120.55973386764526
183,-303675593.5,-151837796.75,0.5770506984623526,122.57220125198364
184,-296771447.5,-148385723.75,0.5753195463669655,122.37224793434143
185,-281060647.5,-140530323.75,0.5735935877278646,122.00230312347412
186,-259536898.5,-129768449.25,0.571872806964681,120.9650468826294
187,-265135356.5,-132567678.25,0.5701571885437869,121.7107925415039
188,-277926736.5,-138963368.25,0.5684467169781556,121.98624682426453
189,-252654372.5,-126327186.25,0.5667413768272211,121.42707777023315
190,-269894741.5,-134947370.75,0.5650411526967395,122.826345205307
191,-290649522.5,-145324761.25,0.5633460292386493,121.7855486869812
192,-280926514.5,-140463257.25,0.5616559911509333,122.0740294456482
193,-262045953.5,-131022976.75,0.5599710231774805,123.19430422782898
194,-259196786.0,-129598393.0,0.5582911101079481,121.57148456573486
195,-269613069.0,-134806534.5,0.5566162367776242,121.42132830619812
196,-276090587.0,-138045293.5,0.5549463880672914,121.8301694393158
197,-280826034.5,-140413017.25,0.5532815489030894,122.23450565338135
198,-259881327.0,-129940663.5,0.5516217042563801,122.17810153961182
199,-255536626.0,-127768313.0,0.549966839143611,122.64754343032837
200,-254376579.0,-127188289.5,0.5483169386261801,122.41147518157959
201,-295448479.5,-147724239.75,0.5466719878103016,122.51187372207642
202,-264394993.0,-132197496.5,0.5450319718468707,121.73139023780823
203,-239298713.5,-119649356.75,0.5433968759313301,122.5892882347107
204,-261246661.5,-130623330.75,0.5417666853035361,122.33985233306885
205,-255204829.5,-127602414.75,0.5401413852476254,121.56149673461914
206,-252604510.5,-126302255.25,0.5385209610918825,122.79412508010864
207,-245899151.5,-122949575.75,0.5369053982086068,121.81965637207031
208,-280845941.0,-140422970.5,0.535294682013981,122.86223578453064
209,-305121003.0,-152560501.5,0.5336887979679391,122.34616780281067
210,-237287832.5,-118643916.25,0.5320877315740353,122.43422389030457
211,-246738962.5,-123369481.25,0.5304914683793133,122.99362897872925
